year,category,category_slug,category_url,rank,rank_label,venue_idx,name,venue_url,profile_url,address,postcode,lat,lon,geocode_source
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,7,seventh Place,26,Terra at Tottington Manor,https://restaurantsbrighton.co.uk/terra-restaurant/,https://restaurantsbrighton.co.uk/terra-restaurant/,"Tottington Manor, Edburton Rd, Henfield, BN5 9LJ",BN5 9LJ,50.891093,-0.272994,ONSPD via venue page postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,8,eighth place,27,The Fig Tree,https://restaurantsbrighton.co.uk/the-fig-tree-hurstpierpoint/,https://restaurantsbrighton.co.uk/the-fig-tree-hurstpierpoint/,"120 High St, Hurstpierpoint, Hassocks BN6 9PX",BN6 9PX,50.932394,-0.175089,ONSPD via venue page postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,9,Ninth Place,28,Village Pizza Kitchen,https://restaurantsbrighton.co.uk/village-pizza-kitchen/,https://restaurantsbrighton.co.uk/village-pizza-kitchen/,"155 High Street, Hurstpierpoint, BN6 9PU",BN6 9PU,50.932565,-0.174855,ONSPD via venue page postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,10,Tenth place,29,Artelium,https://restaurantsbrighton.co.uk/artelium/,https://restaurantsbrighton.co.uk/artelium/,"Artelium Wine Estate Streat Lane, Hassocks East Sussex BN6 8SA",BN6 8SA,50.935054,-0.076396,ONSPD via venue page postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,11,eleventh,30,Babylon Eco Centre,https://babylon.eco/,,,TN22 3BH,51.031489,0.091993,ONSPD via Nominatim postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,12,twelfth,31,Crocodile Cafe,https://www.crocodilecafe.uk/,,,BN2 8LH,50.800607,-0.037276,ONSPD via Nominatim postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,13,thirteenth,32,Orla Restaurant & Rooms,https://www.orlalindfield.co.uk/,,,,,,
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,14,fourteenth,33,Chalk at Wiston Estate,https://www.wistonestate.com/chalk-restaurant/,,,BN44 3DD,50.906344,-0.367075,ONSPD via Nominatim (Sussex bbox)
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,15,fifteenth,34,Safari Pizza Co,https://safaripizzas.co.uk/,,,,,,
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,16,sixteenth,35,Ginger Fox,https://restaurantsbrighton.co.uk/ginger-fox/,https://restaurantsbrighton.co.uk/ginger-fox/,"The Ginger Fox, Muddleswood Road, Henfield Road, Albourne, West Sussex, BN6 9EA.",BN6 9EA,50.913366,-0.214769,ONSPD via venue page postcode
2026,Best Sussex Restaurant,best_sussex_restaurant,https://restaurantsbrighton.co.uk/best-restaurants-in-sussex/,17,seventeenth,36,Morley's Bistro,https://restaurantsbrighton.co.uk/morleys-bistro-hurstpierpoint/,https://restaurantsbrighton.co.uk/morleys-bistro-hurstpierpoint/,"42 High St, Hurstpierpoint, Hassocks BN6 9RG",BN6 9RG,50.933513,-0.178802,ONSPD via venue page postcode
