venue_idx,name,profile_url,venue_url,address,postcode,lat,lon,hove,sussex,geocode_source
41,Moksha,https://restaurantsbrighton.co.uk/moksha-caffe-brighton/,https://restaurantsbrighton.co.uk/moksha-caffe-brighton/,4-5 York Place Brighton East Sussex BN1 4GU,BN1 4GU,50.828646,-0.135785,False,False,ONSPD via venue page postcode
42,Starfish & Coffee,https://restaurantsbrighton.co.uk/starfish-and-coffee-cafe-brighton/,https://restaurantsbrighton.co.uk/starfish-and-coffee-cafe-brighton/,"32 Egremont Place, BN2 0GA Brighton",BN2 0GA,50.822748,-0.129148,False,False,ONSPD via venue page postcode
43,Oeuf Cafe,https://restaurantsbrighton.co.uk/oeuf-cafe-hove/,https://restaurantsbrighton.co.uk/oeuf-cafe-hove/,"8 Third Avenue Hove, BN3 2PX",BN3 2PX,50.826000,-0.170934,True,False,ONSPD via venue page postcode
44,Mange Tout,https://restaurantsbrighton.co.uk/mange-tout-brighton/,https://restaurantsbrighton.co.uk/mange-tout-brighton/,"81 Trafalgar Street, Brighton, BN1 4EB",BN1 4EB,50.828445,-0.139002,False,False,ONSPD via venue page postcode
45,FIKA,https://restaurantsbrighton.co.uk/sandwich-shops-in-brighton/,https://restaurantsbrighton.co.uk/sandwich-shops-in-brighton/,,BN2 1BX,50.819244,-0.126406,False,False,ONSPD via Nominatim (Sussex bbox)
46,Dishoom Permit Room,https://restaurantsbrighton.co.uk/dishoom-permit-room-brighton/,https://restaurantsbrighton.co.uk/dishoom-permit-room-brighton/,,BN1 1HL,50.821465,-0.139266,False,False,ONSPD via venue page postcode
47,Nord Hove,,https://www.instagram.com/nordhove/,,BN1 2PA,50.825227,-0.154380,True,False,ONSPD via Nominatim postcode
48,Black Mocha,,https://www.instagram.com/blackmochabrighton/,,BN1 4AP,50.827122,-0.139523,False,False,ONSPD via Nominatim postcode
49,Foodilic,https://restaurantsbrighton.co.uk/foodilic-brighton/,https://restaurantsbrighton.co.uk/foodilic-brighton/,"163 Western Road, Brighton, BN1 2BB",BN1 2BB,50.824431,-0.148789,False,False,ONSPD via venue page postcode
50,River Cafe and Bistro,https://restaurantsbrighton.co.uk/river-cafe-bistro-shoreham/,https://restaurantsbrighton.co.uk/river-cafe-bistro-shoreham/,6 High Street Shoreham-by-Sea West Sussex BN43 5DA,BN43 5DA,50.831893,-0.275634,False,False,ONSPD via venue page postcode
51,Â Table,https://restaurantsbrighton.co.uk/a-table-brighton/,https://restaurantsbrighton.co.uk/a-table-brighton/,75 St. James's Street BN2 1PA Brighton,BN2 1PA,50.820254,-0.131037,False,False,ONSPD via venue page postcode
52,Cafe Rust,,https://www.instagram.com/cafe_rust/,,BN2 1EA,50.819140,-0.123500,False,False,ONSPD via Nominatim postcode
53,Baked,https://restaurantsbrighton.co.uk/baked-hove/,https://restaurantsbrighton.co.uk/baked-hove/,"69 Church Road, Hove BN3 2BB",BN3 2BB,50.827508,-0.167283,True,False,ONSPD via venue page postcode
54,East Brighton Cafe,,https://www.brighton-hove.gov.uk/libraries-leisure-and-arts/parks-and-green-spaces/east-brighton-park,,BN1 1HP,50.820285,-0.139383,True,False,ONSPD via Nominatim postcode
55,Trading Post Coffee,https://restaurantsbrighton.co.uk/trading-post-coffee-brighton/,https://restaurantsbrighton.co.uk/trading-post-coffee-brighton/,"36 Ship St, Brighton, BN1 1AB",BN1 1AB,50.822959,-0.141790,False,False,ONSPD via venue page postcode
56,MEO,https://restaurantsbrighton.co.uk/meo-brighton/,https://restaurantsbrighton.co.uk/meo-brighton/,"39 St James's St, Kemptown, Brighton and Hove, Brighton BN2 1RG",BN2 1RG,50.820743,-0.132394,False,False,ONSPD via venue page postcode
57,Burger & Lobster,https://restaurantsbrighton.co.uk/burger-and-lobster/,https://restaurantsbrighton.co.uk/burger-and-lobster/,15 Market Street Brighton BN1 1HH,BN1 1HH,50.821460,-0.139763,False,False,ONSPD via venue page postcode
58,Earth & Stars,https://restaurantsbrighton.co.uk/earth-and-stars-brighton/,https://restaurantsbrighton.co.uk/earth-and-stars-brighton/,"46 WINDSOR STREET, BRIGHTON, EAST SUSSEX BN1 1RJ",BN1 1RJ,50.824543,-0.142466,False,False,ONSPD via venue page postcode
59,Majahma,https://restaurantsbrighton.co.uk/majahma-tiffin-delivery-brighton/,https://restaurantsbrighton.co.uk/majahma-tiffin-delivery-brighton/,,,,,False,False,
60,Pink Moon,https://restaurantsbrighton.co.uk/small-plates-brighton/,https://restaurantsbrighton.co.uk/small-plates-brighton/,,BN1 1AF,50.822545,-0.141565,False,False,ONSPD via Nominatim (Sussex bbox)
61,Oowee Vegan,https://restaurantsbrighton.co.uk/oowee-vegan/,https://restaurantsbrighton.co.uk/oowee-vegan/,"23 Market St, Brighton and Hove, Brighton BN1 1HH",BN1 1HH,50.821460,-0.139763,False,False,ONSPD via venue page postcode
62,Cielo Cakery,,https://cielocakery.co.uk/,,,,,False,False,
63,Siam Siam,,https://www.siamsiambrighton.com/,,BN1 2HG,50.822725,-0.151227,False,False,ONSPD via Nominatim postcode
64,Planet India,https://restaurantsbrighton.co.uk/planet-india-brighton/,https://restaurantsbrighton.co.uk/planet-india-brighton/,"4 Richmond Parade, BN2 9PH",BN2 9PH,50.827128,-0.133659,False,False,ONSPD via venue page postcode
65,Food For Friends,https://restaurantsbrighton.co.uk/food-for-friends/,https://restaurantsbrighton.co.uk/food-for-friends/,"17-18 Prince Albert Street Brighton, East Sussex BN1 1HF",BN1 1HF,50.821274,-0.140849,False,False,ONSPD via venue page postcode
66,Hope & Ruin (Beelzebab),,https://www.beelzebab.com/,,BN1 3WA,50.824604,-0.143230,False,False,ONSPD via Nominatim (Sussex bbox)
67,Manjus,https://restaurantsbrighton.co.uk/manjus-brighton/,https://restaurantsbrighton.co.uk/manjus-brighton/,"6 Trafalgar St, Brighton BN1 4EQ",BN1 4EQ,50.828000,-0.137018,False,False,ONSPD via venue page postcode
68,Iydea Brighton,,https://www.instagram.com/iydeabrighton/,,BN1 4AL,50.826267,-0.138904,False,False,ONSPD via Nominatim postcode
69,We Love Falafel,,http://welovefalafel.co.uk/,,BN1 4EP,50.827507,-0.137705,False,False,ONSPD via Nominatim postcode
70,The Roundhill,https://restaurantsbrighton.co.uk/the-roundhill-brighton/,https://restaurantsbrighton.co.uk/the-roundhill-brighton/,100 Ditchling Road Brighton BN1 4SG,BN1 4SG,50.836080,-0.133358,False,False,ONSPD via venue page postcode
71,Purezza,https://restaurantsbrighton.co.uk/purezza-brighton-vegan-pizza/,https://restaurantsbrighton.co.uk/purezza-brighton-vegan-pizza/,"12 St James's St, Kemptown, Brighton BN2 1RE",BN2 1RE,50.821072,-0.135178,False,False,ONSPD via venue page postcode
72,Happy Maki,https://restaurantsbrighton.co.uk/happy-maki/,https://restaurantsbrighton.co.uk/happy-maki/,,BN1 1UN,50.824925,-0.139355,False,False,ONSPD via Nominatim postcode
73,The Grand & Cyan Restaurant,https://restaurantsbrighton.co.uk/the-grand-brighton/,https://restaurantsbrighton.co.uk/the-grand-brighton/,The Grand 97-99 King's Road Brighton BN1 2FW,BN1 2FW,50.821554,-0.147326,False,False,ONSPD via venue page postcode
74,Clementine and Co,,https://www.clementineandco.co.uk/,,,,,False,False,Nominatim mismatch (SO50 7QG)
75,Blossoms Bar,https://restaurantsbrighton.co.uk/blossoms-brighton/,https://restaurantsbrighton.co.uk/blossoms-brighton/,"17-18 BRIGHTON SQUARE, BRIGHTON, BN1 1HD",BN1 1HD,50.822120,-0.140333,False,False,ONSPD via venue page postcode
76,FUMI,https://restaurantsbrighton.co.uk/fumi-brighton/,https://restaurantsbrighton.co.uk/fumi-brighton/,"1 Circus St, Brighton, Brighton and Hove, Brighton BN2 9AS, United Kingdom",BN2 9AS,50.825005,-0.134553,False,False,ONSPD via venue page postcode
77,Bar 50ml,https://restaurantsbrighton.co.uk/bar-50ml-brighton/,https://restaurantsbrighton.co.uk/bar-50ml-brighton/,"10 St Georges Place, Brighton BN1 4GB",BN1 4GB,50.827610,-0.135713,False,False,ONSPD via venue page postcode
78,The Plotting Parlour,https://restaurantsbrighton.co.uk/plotting-parlour-brighton/,https://restaurantsbrighton.co.uk/plotting-parlour-brighton/,"6 Steine St, Brighton BN2 1TE",BN2 1TE,50.820434,-0.136098,False,False,ONSPD via venue page postcode
79,Twisted Lemon,https://restaurantsbrighton.co.uk/twisted-lemon-cocktail-bar-brighton/,https://restaurantsbrighton.co.uk/twisted-lemon-cocktail-bar-brighton/,"41 Middle St, Brighton BN1 1AL",BN1 1AL,50.821362,-0.142961,False,False,ONSPD via venue page postcode
80,Kemptown Klub,https://restaurantsbrighton.co.uk/the-kemptown-klub/,https://restaurantsbrighton.co.uk/the-kemptown-klub/,"75 St George's Rd, Kemptown, Brighton BN2 1EF",BN2 1EF,50.817605,-0.118053,False,False,ONSPD via venue page postcode
81,Apiary,https://restaurantsbrighton.co.uk/apiary-brighton/,https://restaurantsbrighton.co.uk/apiary-brighton/,"50 Norfolk Square, Brighton and Hove, Brighton BN1 2PA",BN1 2PA,50.825227,-0.154380,False,False,ONSPD via venue page postcode
82,Bar Valentino,https://restaurantsbrighton.co.uk/bar-valentino-brighton/,https://restaurantsbrighton.co.uk/bar-valentino-brighton/,"7 New Rd, Brighton BN1 1UF",BN1 1UF,50.823502,-0.139568,False,False,ONSPD via venue page postcode
83,Brighton Rocks,https://restaurantsbrighton.co.uk/brighton-rocks-bar/,https://restaurantsbrighton.co.uk/brighton-rocks-bar/,"6 Rock Place, Brighton, BN2 1PF",BN2 1PF,50.819831,-0.131039,False,False,ONSPD via venue page postcode
84,The Golden Pineapple,https://restaurantsbrighton.co.uk/the-golden-pineapple-brighton/,https://restaurantsbrighton.co.uk/the-golden-pineapple-brighton/,"14 Ship Street Brighton, BN1 1AD",BN1 1AD,50.821691,-0.142167,False,False,ONSPD via venue page postcode
